question;answer;difficulty;diff_score
Karaciğer ile ilgili: Siroz geri döner mi;İleri düzeyde siroz geri döndürülemez, ancak erken dönemde ilerlemesi durdurulabilir.;kolay;1023
Karaciğer ile ilgili: Siroz hastalığı tamamen iyileşir mi?;İleri düzeyde siroz geri döndürülemez, ancak erken dönemde ilerlemesi durdurulabilir.;zor;1604
Karaciğer ile ilgili: Sirozda iyileşme olur mu?;İleri düzeyde siroz geri döndürülemez, ancak erken dönemde ilerlemesi durdurulabilir.;orta;1391
Karaciğer ile ilgili: Siroz ilerlemesi durdurulabilir mi?;İleri düzeyde siroz geri döndürülemez, ancak erken dönemde ilerlemesi durdurulabilir.;orta;1421
Karaciğer kanseri riskini kimler taşır;Sirozu olanlar, Hepatit B veya C taşıyanlar, aşırı alkol kullananlar risk altındadır.;kolay;1014
Karaciğer kanseri için riskli gruplar kimlerdir?;Sirozu olanlar, Hepatit B veya C taşıyanlar, aşırı alkol kullananlar risk altındadır.;orta;1454
Kimler karaciğer kanseri riski taşır?;Sirozu olanlar, Hepatit B veya C taşıyanlar, aşırı alkol kullananlar risk altındadır.;orta;1361
Karaciğer kanseri riski kimlerde yüksektir?;Sirozu olanlar, Hepatit B veya C taşıyanlar, aşırı alkol kullananlar risk altındadır.;orta;1379
Karaciğer hastalığı kilo kaybına neden olur mu;Evet, iştah azalması ve sindirim bozuklukları kilo kaybına yol açabilir.;zor;1758
Karaciğer hastalığında kilo kaybı olur mu?;Evet, iştah azalması ve sindirim bozuklukları kilo kaybına yol açabilir.;orta;1436
Karaciğer hastalığı zayıflatır mı?;Evet, iştah azalması ve sindirim bozuklukları kilo kaybına yol açabilir.;kolay;1052
Karaciğer hastalığında neden kilo verilir?;Evet, iştah azalması ve sindirim bozuklukları kilo kaybına yol açabilir.;zor;1856
Karaciğer için zararlı ilaçlar var mı;Bazı ilaçlar yüksek dozda karaciğere zarar verebilir, doktor kontrolünde kullanılmalıdır.;kolay;951
Karaciğere zarar veren ilaçlar hangileridir?;Bazı ilaçlar yüksek dozda karaciğere zarar verebilir, doktor kontrolünde kullanılmalıdır.;orta;1382
Karaciğer hastalığında hangi ilaçlar risklidir?;Bazı ilaçlar yüksek dozda karaciğere zarar verebilir, doktor kontrolünde kullanılmalıdır.;orta;1271
Karaciğer için tehlikeli ilaçlar var mı?;Bazı ilaçlar yüksek dozda karaciğere zarar verebilir, doktor kontrolünde kullanılmalıdır.;orta;131
Karaciğer enzimleri nedir;Karaciğerin çalışmasını gösteren ALT, AST gibi kan değerleridir.;kolay;-185
Karaciğer enzimleri ne demek?;Karaciğerin çalışmasını gösteren ALT, AST gibi kan değerleridir.;kolay;237
Karaciğer enzimleri hangi değerlerdir?;Karaciğerin çalışmasını gösteren ALT, AST gibi kan değerleridir.;kolay;1064
Karaciğer enzimleri neyi gösterir?;Karaciğerin çalışmasını gösteren ALT, AST gibi kan değerleridir.;kolay;1172
Karaciğer enzimleri yüksekse ne olur;Karaciğer hücrelerinde hasar olduğuna işaret eder, doktor takibi gerekir.;kolay;888
Karaciğer enzimleri yüksek çıkarsa ne anlama gelir?;Karaciğer hücrelerinde hasar olduğuna işaret eder, doktor takibi gerekir.;kolay;843
Karaciğer enzimleri neden yükselir?;Karaciğer hücrelerinde hasar olduğuna işaret eder, doktor takibi gerekir.;zor;1655
Karaciğer enzimleri yüksekse ne yapılmalı?;Karaciğer hücrelerinde hasar olduğuna işaret eder, doktor takibi gerekir.;orta;1256
Karaciğer ile ilgili: Çocuklarda hepatit B nasıl önlenir;Çocuklarda hepatit B'yi önlemenin en etkili yolu, bebeklerin doğumdan hemen sonra başlayan rutin aşılamasıdır. Hepatit B taşıyıcısı annelerin bebeklerine ise doğum sonrası ilk 12 saat içinde aşı ile birlikte immünoglobulin de uygulanması, hastalığın bulaşmasını engellemek için hayati önem taşır.;orta;1248
Karaciğer ile ilgili: Çocuklarda hepatit B bulaşmasın diye ne yapılır?;"Çocuklarda hepatit B bulaşmasını önlemenin en etkili yolu aşılamadır; ilk doz doğumdan hemen sonra yapılır. Ayrıca, hamile kadınlar hepatit B açısından taranır. Eğer anne pozitifse, bebeğe doğumda aşıya ek olarak özel bir immünglobulin (HBIG) uygulanır.";zor;20
Karaciğer hastalığı nasıl anlaşılır?;Karaciğer hastalığı genellikle ciltte ve gözlerde sararma (sarılık), belirgin yorgunluk, iştahsızlık, mide bulantısı ve kusma ile kendini gösterebilir. Karın bölgesinde ağrı veya şişlik (sıvı birikimi), koyu renkli idrar ve açık renkli dışkı da diğer önemli belirtiler arasındadır. Bu tür şikayetler fark edildiğinde vakit kaybetmeden bir doktora başvurmak önemlidir.;kolay;1058
Karaciğer ile ilgili: Hepatit C nasıl bulaşır;Hepatit C virüsü temel olarak enfekte kan yoluyla bulaşır. En yaygın bulaşma yolları arasında damar içi uyuşturucu kullanımında iğne paylaşımı, sterilize edilmemiş tıbbi aletlerin kullanılması ve (geçmişte) kontamine kan transfüzyonları bulunur. Daha nadiren, cinsel yolla veya enfekte anneden bebeğine de geçebilir.;kolay;1035
Karaciğer ile ilgili: Hepatit C enfeksiyonu nasıl geçer?;Hepatit C enfeksiyonu genellikle kendiliğinden geçmez ve kronikleşebilir. Ancak günümüzde kullanılan direkt etkili antiviral ilaçlar (DAA'lar) sayesinde enfeksiyonun kalıcı olarak tedavi edilme şansı çok yüksektir. Bu ilaçlarla tedavi genellikle kısa sürer ve çoğu hastada virüs tamamen temizlenir.;orta;1598
Karaciğer ile ilgili: Hepatit C başkasına nasıl bulaşır?;Hepatit C virüsü temel olarak kan yoluyla bulaşır. En sık, uyuşturucu enjeksiyonu için kullanılan iğne ve şırınga paylaşımıyla yayılır. Ayrıca, steril olmayan tıbbi ekipman kullanımı veya kan ürünleri aracılığıyla da geçebilir. Daha nadiren, korunmasız cinsel ilişki veya doğum sırasında anneden bebeğe geçiş görülebilir.;orta;1598
Karaciğer ile ilgili: Hepatit A nasıl bulaşır;Hepatit A, genellikle virüsle kirlenmiş yiyecek veya su tüketimiyle bulaşır. Özellikle kişisel hijyen kurallarına (el yıkama gibi) dikkat edilmediğinde, enfekte bir kişiyle yakın temas yoluyla da geçebilir.;kolay;1035
Karaciğer ile ilgili: Hepatit A enfeksiyonu nasıl geçer?;Hepatit A enfeksiyonu genellikle özel bir antiviral tedavi gerektirmeden kendiliğinden geçer. Vücut virüsü zamanla temizler ve karaciğer kendini onarır. Bu süreçte yatak istirahati, bol sıvı alımı ve karaciğeri yormayacak bir beslenme önemlidir.;orta;1598
Karaciğer ile ilgili: Hepatit A başkasına nasıl bulaşır?;Hepatit A virüsü, enfekte bir kişinin dışkısıyla kirlenmiş yiyecek, su veya yüzeyler aracılığıyla ağız yoluyla bulaşır. Temel olarak, tuvalet sonrası el yıkama gibi hijyen kurallarına uyulmaması veya virüsü taşıyan gıdaların (özellikle iyi pişmemiş deniz ürünleri) tüketilmesiyle yayılır. Enfekte bir kişiyle yakın temas da bulaşma riskini artırabilir.;orta;1598
Karaciğer ile ilgili: Hepatit C aşısı var mı;Şu an için Hepatit C için onaylanmış, yaygın kullanıma sunulmuş bir aşı bulunmamaktadır. Virüsün yüksek genetik çeşitliliği nedeniyle aşı geliştirme çalışmaları karmaşık bir süreçtir ve devam etmektedir. Ancak günümüzde Hepatit C enfeksiyonunu yüksek başarı oranlarıyla tedavi edebilen etkili antiviral ilaçlar mevcuttur.;kolay;1212
Karaciğer ile ilgili: Hepatit C için aşı mevcut mu?;Hepatit C için şu anda ticari olarak mevcut bir aşı bulunmamaktadır. Virüsün genetik çeşitliliği ve mutasyon kapasitesi nedeniyle aşı geliştirme çalışmaları oldukça zorlu ilerlemektedir. Ancak, dünya genelinde birçok araştırma grubu etkili bir aşı bulmak için çalışmalarını sürdürmektedir.;zor;2343
Karaciğer ile ilgili: Hepatit C aşısı bulunuyor mu?;Hepatit C virüsüne karşı geliştirilmiş ticari bir aşı henüz bulunmamaktadır. Araştırmalar ve klinik denemeler devam etmekle birlikte, henüz onaylanmış ve geniş kullanıma sunulmuş bir aşı yoktur. Virüsün yüksek genetik çeşitliliği nedeniyle aşı geliştirme süreci oldukça zorludur.;orta;1583
Karaciğer hastalığı nasıl anlaşılır?;Karaciğer hastalığı, ciltte ve gözlerde sarılık, sürekli yorgunluk, mide bulantısı, iştahsızlık ve karın bölgesinde şişlik gibi belirtilerle kendini gösterebilir. Ayrıca idrar renginin koyulaşması, dışkının açık renk alması ve vücutta kolay morarmalar da dikkat çekici işaretlerdendir. Bu belirtilerden birkaçı varsa mutlaka bir doktora başvurmak gerekir.;kolay;1058
Karaciğer ile ilgili: Çocuklarda hepatit B nasıl önlenir;Çocuklarda hepatit B'yi önlemenin en etkili yolu aşılamadır. Bebeklere doğumdan hemen sonra ilk dozu yapılır ve belirlenen aşı takvimi tamamlanarak tam koruma sağlanır. Özellikle taşıyıcı annelerden doğan bebeklere, doğumda aşıya ek olarak Hepatit B İmmün Globulin (HBIG) uygulanmasıyla bulaşma riski büyük ölçüde azaltılır.;orta;1248
Karaciğer ile ilgili: Çocuklarda hepatit B bulaşmasın diye ne yapılır?;Çocuklarda hepatit B bulaşmasını önlemenin en etkili yolu aşılamadır. İlk doz doğumda, sonraki dozlar ise belirli aralıklarla yapılır. Annesi hepatit B taşıyıcısı olan bebeklere doğumda aşıya ek olarak immünoglobulin de uygulanır.;zor;20
Karaciğer hastalığı nasıl anlaşılır?;Karaciğer hastalığı genellikle gözlerde ve ciltte sararma (sarılık) ile kendini gösterir. Aşırı yorgunluk, iştahsızlık, bulantı ve kilo kaybı sık görülen belirtilerdendir. Koyu renkli idrar, açık renkli dışkı, karın şişliği (ödem) ve sağ üst kadranda ağrı da önemli işaretlerdir. Bu belirtilerden birkaçı bir arada görülüyorsa mutlaka bir doktora başvurulmalıdır.;kolay;1058
Karaciğer ile ilgili: Hepatit C nasıl bulaşır;Hepatit C virüsü temel olarak kan yoluyla bulaşır. En yaygın bulaşma şekli, uyuşturucu enjeksiyonunda kullanılan şırınga ve iğnelerin paylaşılmasıdır. Steril olmayan tıbbi veya kişisel eşyaların (jilet, diş fırçası gibi) kullanımı da risktir. Cinsel temas yoluyla bulaşma riski düşüktür ancak mümkündür ve enfekte anneden bebeğe doğum sırasında da geçiş görülebilir.;kolay;1035
Karaciğer ile ilgili: Hepatit C enfeksiyonu nasıl geçer?;Hepatit C enfeksiyonu başlıca kan yoluyla bulaşır. En yaygın bulaşma yolu, enjekte edilen uyuşturucu kullanımı sırasında iğne veya şırınga paylaşımıdır. Ayrıca sterilize edilmemiş tıbbi aletlerin kullanımı, kan nakli (özellikle 1992 öncesi), anneden bebeğe doğum sırasında ve nadiren cinsel yolla da bulaşabilir.;orta;1598
Karaciğer ile ilgili: Hepatit C başkasına nasıl bulaşır?;Hepatit C virüsü temel olarak enfekte bir kişinin kanının başka bir kişinin kanına geçmesiyle bulaşır. En yaygın bulaşma yolları arasında uyuşturucu enjektörlerinin paylaşımı, steril olmayan tıbbi veya dövme/piercing ekipmanlarının kullanımı bulunur. Ayrıca anneden bebeğe doğum sırasında ve nadiren cinsel ilişki yoluyla da geçebilir. Günlük temas, öksürme veya hapşırma ile bulaşmaz.;orta;1598
Karaciğer ile ilgili: Hepatit A nasıl bulaşır;Hepatit A virüsü genellikle fekal-oral yolla bulaşır. Bu, virüs taşıyan kişinin dışkısıyla kirlenmiş su veya gıdaların tüketilmesiyle olur. Ayrıca, kişisel hijyen kurallarına uyulmaması (özellikle tuvalet sonrası el yıkamama) ve enfekte bir kişiyle yakın temas da bulaşmaya neden olabilir.;kolay;1035
Karaciğer ile ilgili: Hepatit A enfeksiyonu nasıl geçer?;Hepatit A enfeksiyonu genellikle vücudun kendi bağışıklık sistemi tarafından temizlenerek kendiliğinden iyileşir. Bu süreçte özel bir antiviral ilaç kullanılmaz, tedavi destekleyici niteliktedir. Dinlenmek, bol sıvı almak ve karaciğeri yormayacak bir beslenme düzeni uygulamak önemlidir. Çoğu kişi herhangi bir kalıcı karaciğer hasarı olmadan tamamen iyileşir.;orta;1598
Karaciğer ile ilgili: Hepatit A başkasına nasıl bulaşır?;Hepatit A virüsü genellikle dışkı-ağız yoluyla bulaşır. Bu, virüsle kirlenmiş yiyeceklerin veya suların tüketilmesiyle ya da enfekte bir kişinin dışkısıyla temas etmiş ellerin ağıza götürülmesiyle gerçekleşir. Yetersiz kişisel hijyen ve kalabalık yaşam koşulları bulaşmayı kolaylaştırır.;orta;1598
Karaciğer ile ilgili: Hepatit C nedir?;Hepatit C (HCV), karaciğerde iltihaplanmaya neden olan bir virüs enfeksiyonudur. Başlıca enfekte kan yoluyla bulaşır ve kronikleştiğinde siroz veya karaciğer kanseri gibi ciddi karaciğer hasarlarına yol açabilir.;kolay;504
Karaciğer ile ilgili: AFP nedir?;"AFP (Alfa-fetoprotein), fetal gelişim sırasında üretilen bir proteindir. Yetişkinlerde karaciğer kanseri ve bazı germ hücreli tümörler için tümör belirteci olarak kullanılır; ayrıca gebelikte bazı tarama testlerinde de rol oynar.";kolay;306
Karaciğer ile ilgili: Siroz düzelir mi?;"Siroz genellikle tamamen düzelmez; ancak ilerlemesi durdurulabilir ve bazı erken evrelerde kısmi iyileşme sağlanabilir. İleri durumlarda tek kalıcı çözüm karaciğer naklidir.";kolay;1187
Karaciğer yağlanması geçer mi?;Evet, özellikle erken evrede yaşam tarzı değişikliği, diyet ve egzersiz ile tamamen geri dönebilir.;kolay;104
Karaciğer ile ilgili: Siroz tamamen iyileşir mi?;İleri evre siroz tamamen iyileşmez, ancak altta yatan neden tedavi edilirse ilerlemesi durdurulabilir ve karaciğer fonksiyonları bir miktar düzelebilir.;orta;1394
Karaciğer hastası alkol alabilir mi?;Hayır, karaciğer hastalığı olan birinin alkolü tamamen bırakması gerekir çünkü alkol mevcut hasarı artırır.;zor;2138
Sigara karaciğere zarar verir mi?;Evet, sigara karaciğerdeki hasarı artırır, fibrozis sürecini hızlandırır ve karaciğer kanseri riskini yükseltir.;kolay;1229
Karaciğer hastası sigara içebilir mi?;İçmemelidir. Sigara, hastalığın seyrini kötüleştirebileceği için bırakılması şiddetle tavsiye edilir.;orta;1241
Karaciğer ile ilgili: Oruç tutmamda sakınca var mı?;Karaciğer hastalığınızın durumuna bağlıdır. Özellikle ileri evre hastalığı olanlar için riskli olabilir. Oruç tutmadan önce mutlaka doktorunuza danışmalısınız.;orta;1583
Hangi doktor karaciğer hastalıklarında daha iyidir?;Karaciğer hastalıkları için Gastroenteroloji veya bu alanın bir üst uzmanlığı olan Hepatoloji bölümüne başvurulmalıdır.;orta;1343
Türkiye’de karaciğer için en iyi hastane hangisi?;'En iyi' hastane kişiye göre değişir ancak genellikle tecrübeli nakil merkezleri olan üniversite hastaneleri ve eğitim-araştırma hastaneleri bu alanda yetkindir.;zor;1977
Karaciğer hastaları kahve içebilir mi?;Evet, araştırmalar şekersiz ve kremasız olmak kaydıyla günde 2-3 fincan kahvenin karaciğer sağlığına faydalı olabileceğini göstermektedir.;orta;1244
Neden sürekli halsiz hissediyorum, karaciğerden olabilir mi?;Evet, kronik yorgunluk ve halsizlik, karaciğer hastalıklarının en yaygın belirtilerinden biridir.;zor;24
Karaciğer nakli için ne yapmam gerek?;Öncelikle bir gastroenteroloji veya hepatoloji uzmanı tarafından değerlendirilmeniz ve eğer uygun görülürseniz bir karaciğer nakil merkezine yönlendirilmeniz gerekir.;orta;1301
Yağlı yemek karaciğeri kötü etkiler mi?;Evet, özellikle doymuş ve trans yağ içeren işlenmiş gıdalar karaciğer yağlanmasını artırır ve karaciğere yük bindirir.;orta;1427
Karaciğer ile ilgili: Hepatit B taşıyıcısıyım, bulaştırır mıyım?;Evet, Hepatit B kan ve vücut sıvıları (cinsel ilişki, kan teması) yoluyla bulaşabilir. Bu nedenle önlem alınması önemlidir.;zor;1992
Karaciğer hastalığı bulaşıcı mı?;Hepatit A, B, C gibi viral enfeksiyonlar bulaşıcıdır. Ancak yağlı karaciğer, alkole bağlı hastalıklar veya otoimmün hastalıklar bulaşıcı değildir.;kolay;1046
Kaşıntım var, karaciğerle ilgisi olabilir mi?;Evet, özellikle safra akışının bozulduğu karaciğer hastalıklarında kanda biriken safra tuzları ciltte kaşıntıya neden olabilir.;zor;1695
Karaciğer ile ilgili: Karın şişliği siroz belirtisi mi?;Evet, karında asit adı verilen sıvının birikmesi, ileri evre sirozun önemli bir belirtisidir.;orta;1595
Karaciğer ile ilgili: Tahlillerim normal ama hâlâ şikayetim var, neden?;Bazı durumlarda karaciğer hastalığı erken evredeyken kan tahlillerine yansımayabilir veya şikayetleriniz başka bir organdan (örn: safra kesesi) kaynaklanıyor olabilir.;zor;2973
Karaciğer ile ilgili: GGT neden yüksek çıkar?;GGT yüksekliği en sık karaciğer ve safra yolu hastalıklarında görülür. Alkol kullanımı, bazı ilaçlar ve obezite de GGT'yi yükseltebilir.;zor;1985
Karaciğer hastaları ne kadar sürede iyileşir?;"İyileşme süresi; hastalığın türüne, evresine, altta yatan nedene ve tedaviye verilen yanıta göre kişiden kişiye tamamen değişir.";orta;1325
Karaciğer kanseri riskim var mı?;Siroz, kronik Hepatit B veya C enfeksiyonu, alkole bağlı karaciğer hastalığı ve ileri evre yağlı karaciğer hastalığı olan kişilerde risk artar.;kolay;1226
Karaciğer ile ilgili: Hepatit B aşısı oldum ama korunuyor muyum?;Genellikle evet. Korunup korunmadığınızdan emin olmak için Anti-HBs adı verilen basit bir kan testi yaptırarak bağışıklık düzeyinize baktırabilirsiniz.;zor;2102
Karaciğer hastaları spor yapabilir mi?;Evet, çoğu durumda hafif ve orta düzeyde egzersiz (yürüyüş, yüzme gibi) faydalıdır. Ancak programınızı doktorunuza danışarak oluşturmalısınız.;orta;1244
Karaciğerin kendini yenilemesi ne kadar sürer?;Bu, hasarın derecesine ve hasara yol açan nedenin ortadan kaldırılıp kaldırılmadığına bağlıdır. Ciddi bir hasarın toparlanması aylar veya yıllar sürebilir.;orta;1328
Bitkisel ilaçlar karaciğeri iyileştirir mi?;Bilimsel olarak kanıtlanmış bir etkinlikleri yoktur. Hatta bazı bitkisel ürünler karaciğere toksik etki yapabilir. Doktor onayı olmadan kesinlikle kullanılmamalıdır.;orta;1259
Karaciğer hastası hangi ilaçları kullanamaz?;Birçok ilaç karaciğerde işlendiği için, ağrı kesiciler dahil tüm ilaçlar doktora danışılmadan kullanılmamalıdır. Doktorunuz size güvenli alternatifleri söyleyecektir.;orta;1262
Şekerli gıdalar karaciğeri etkiler mi?;Evet, aşırı şeker ve özellikle fruktoz tüketimi, karaciğerde yağa dönüşerek karaciğer yağlanmasına (NAFLD) neden olur veya mevcut durumu kötüleştirir.;orta;1244
Karaciğer kanserini nasıl yenebilirim?;"Tedavi; kanserin evresine, boyutuna ve hastanın genel durumuna bağlıdır. Cerrahi, karaciğer nakli, ablasyon ve ilaç tedavileri gibi yöntemler kullanılır. Erken teşhis çok önemlidir.";kolay;1064
Karaciğer hastası çocuk sahibi olabilir mi?;Hastalığın tipi ve şiddetine bağlıdır. Hafif hastalığı olanlar genellikle sorun yaşamazken, ileri evre sirozu olanlar için gebelik riskli olabilir. Mutlaka doktor kontrolünde planlanmalıdır.;zor;1839
Hamileyim, karaciğerim yağlı çıktı, ne yapmalıyım?;Bu durum gebelikte görülebilir. Kadın doğum uzmanınız ve bir gastroenterolog ile birlikte süreci yönetmelisiniz. Genellikle diyet ve yaşam tarzı değişiklikleri önerilir.;zor;256
Oruç tutarsam karaciğerim zarar görür mü?;Evet, özellikle ileri evre karaciğer hastalığında uzun süreli açlık ve susuzluk karaciğere zarar verebilir. Doktorunuza danışmadan kesinlikle oruç tutmayın.;orta;1433
Karaciğer hastalıklarında hangi kan değerleri yükselir?;Genellikle ALT (SGPT), AST (SGOT), GGT, ALP (Alkalen Fosfataz) ve Bilirubin değerlerinde yükselme görülür.;orta;1475
Karaciğer ile ilgili: Bu sonuçlar nakil gerektiğini mi gösteriyor?;Tek başına kan sonuçları nakil kararı için yeterli değildir. Nakil kararı, MELD skoru gibi skorlama sistemleri ve kapsamlı bir klinik değerlendirme ile verilir.;zor;2508
Karaciğerime en az zarar veren ağrı kesici hangisi?;Bu kararı mutlaka doktorunuz vermelidir. Bazı durumlarda düşük doz parasetamol önerilebilirken, bazı durumlarda tamamen sakıncalı olabilir. Asla kendi başınıza karar vermeyin.;zor;2233
Karaciğer ile ilgili: Sarılık geçer mi?;Evet, sarılık bir hastalık değil, bir belirtidir. Altta yatan karaciğer veya safra yolu sorunu tedavi edildiğinde bilirubin seviyeleri düşer ve sarılık kaybolur.;orta;1437
Karaciğer ile ilgili: Neden dilimde sarılık var gibi hissediyorum?;Gerçek sarılık ilk olarak göz aklarında ve ciltte fark edilir. Dildeki sararma genellikle farklı nedenlere (beslenme, hijyen) bağlıdır ve karaciğer hastalığı belirtisi değildir.;zor;2538
B12 eksikliği karaciğerle ilgili olabilir mi?;Evet, karaciğer B12 vitaminini depoladığı için, ileri evre karaciğer hastalıklarında B12 emilimi ve depolanması bozulabilir.;orta;1325
Karaciğerim büyümüş dediler, ciddi mi?;Karaciğer büyümesi (hepatomegali) bir bulgudur ve altta yatan bir soruna işaret eder. Ciddiyeti, büyümeye neden olan hastalığa bağlıdır ve araştırılması gerekir.;orta;1494
Alkolü bırakırsam karaciğerim düzelir mi?;Evet. Özellikle alkole bağlı yağlı karaciğer ve hepatit gibi erken evre hastalıklarda, alkolü bırakmak karaciğerin önemli ölçüde iyileşmesini sağlar.;orta;1253
Karaciğer yağlanması kilo verince geçer mi?;Evet, kilo vermek karaciğer yağlanmasının en etkili tedavisidir. Vücut ağırlığının %7-10'unu kaybetmek genellikle belirgin bir iyileşme sağlar.;orta;1439
En iyi karaciğer doktoru İstanbul’da kim?;Belirli bir isim önermek doğru olmaz. Ancak üniversite hastanelerinin gastroenteroloji ve hepatoloji bölümlerindeki tecrübeli hekimleri araştırabilirsiniz.;zor;1676
Karaciğer hastalığında ne sıklıkla kontrole gitmeliyim?;Bu, hastalığınızın türüne ve ciddiyetine bağlıdır. Stabil kronik hastalarda genellikle 3-6 ayda bir kontrol önerilir.;orta;1475
Karaciğer hastaları için özel bir diyet var mı?;Evet. Genellikle Akdeniz tipi, tuzu ve şekeri azaltılmış, işlenmiş gıdalardan fakir bir diyet önerilir. En doğrusu bir diyetisyenden destek almaktır.;zor;2391
Karaciğer ile ilgili: Siroz olup olmadığımı nasıl anlarım?;"Siroz tanısı; doktor muayenesi, kan testleri, ultrason ve FibroScan gibi görüntüleme yöntemleri ve bazen de karaciğer biyopsisi ile konulur.";zor;1604
Karaciğer değerlerim normale döndü ama hâlâ ağrım var, neden?;Ağrı, karaciğer kapsülünün gerilmesinden veya safra kesesi gibi komşu organlardan kaynaklanıyor olabilir. Değerlerin normalleşmesi her zaman tüm sorunların bittiği anlamına gelmez.;zor;3003
Bacaklarımda ödem var, karaciğerle ilgisi olabilir mi?;Evet, özellikle ileri evre karaciğer hastalıklarında vücudun su ve tuz dengesi bozulduğu için bacaklarda ödem (şişlik) görülebilir.;zor;1902
Bitkisel çaylar karaciğere zarar verir mi?;Evet, bazı bitkisel çaylar (örneğin sinameki, bazı karışım çaylar) karaciğer için toksik olabilir. Bilinçsizce tüketilmemelidir.;orta;1436
Karaciğer ile ilgili: Her yıl kontrole gitmem gerekir mi?;Eğer kronik bir karaciğer hastalığınız veya siroz gibi bir risk faktörünüz varsa, doktorunuzun belirlediği aralıklarla düzenli kontrol hayati önem taşır.;zor;1781
Trombosit düşüklüğü karaciğerle ilgili mi?;Evet, ileri evre sirozda dalak büyür ve trombositleri (pıhtılaşma pulcukları) parçalamaya başlar, bu da trombosit düşüklüğüne neden olur.;kolay;1136
Karaciğer hastalığında aşı olmam gerekir mi?;Evet. Eğer bağışıklığınız yoksa, diğer viral hepatitlerden korunmak için Hepatit A ve Hepatit B aşılarını olmanız şiddetle tavsiye edilir.;zor;2142
Karaciğer ile ilgili: Sarılık olan biriyle temas ettim, ne yapmalıyım?;Sarılığın nedenini bilmek önemlidir. Eğer bulaşıcı Hepatit A ise, doktorunuz size koruyucu aşı veya immünglobulin önerebilir. Bir sağlık kuruluşuna danışın.;zor;298
Karaciğer hastası evlenebilir mi?;Evet, evlenebilir. Eğer hastalık Hepatit B gibi bulaşıcı bir türse, eşin korunması (aşılanması) için önlem alınması önemlidir.;kolay;1049
Karaciğer hastalığı cinsel hayatı etkiler mi?;Evet, kronik hastalıkların getirdiği yorgunluk, hormonal değişiklikler ve psikolojik etkenler cinsel isteği ve performansı etkileyebilir.;orta;1445
Karaciğer hastası hamile olabilir mi?;Hastalığın evresine bağlıdır. Erken evrelerde mümkün olabilirken, ileri evre sirozda hem anne hem de bebek için ciddi riskler taşır. Mutlaka doktor onayı gerekir.;zor;1641
Karaciğer hastalarında unutkanlık neden olur?;İleri evre karaciğer yetmezliğinde, vücuttan atılamayan toksinler beyin fonksiyonlarını etkileyerek unutkanlık ve kafa karışıklığına (hepatik ensefalopati) neden olabilir.;zor;1865
Karaciğer hastaları ne kadar su içmeli?;Genel olarak yeterli su içmek iyidir. Ancak sirozda asit (karında sıvı) varsa, doktor sıvı kısıtlaması önerebilir. Miktar doktora danışılmalıdır.;orta;1307
Karaciğer hastası tatlı yiyebilir mi?;İşlenmiş şeker ve fruktoz içeren tatlılardan kaçınılmalıdır çünkü bunlar karaciğer yağlanmasını artırır. Meyve gibi doğal şekerler ölçülü tüketilebilir.;orta;1241
Diyet yaparken karaciğer değerlerim bozuldu, neden?;Çok düşük kalorili, şok diyetler veya tek tip beslenmeye dayalı diyetler karaciğeri strese sokarak enzimlerin yükselmesine neden olabilir.;zor;3013
Karaciğer nakli sonrası yaşam nasıl olur?;Nakil sonrası kişiler, organ reddini önleyici ilaçları ömür boyu kullanarak ve düzenli doktor kontrolüyle normal ve aktif bir yaşam sürebilirler.;orta;1433
Karaciğer ile ilgili: Hangi skorlar nakil için önemlidir?;Karaciğer nakli aciliyetini belirlemede en sık kullanılan skorlama sistemi MELD (Model for End-Stage Liver Disease) skorudur.;zor;2181
Hastalığım ilerlerse karaciğer nakline gerek olur mu?;Evet, siroz gibi hastalıklar son evreye ulaştığında ve karaciğer fonksiyonlarını yerine getiremediğinde karaciğer nakli tek tedavi seçeneği haline gelebilir.;zor;1649
Hangi karaciğer hastalığı daha tehlikeli?;Hastalığın tehlikesi türünden çok evresine bağlıdır. Tedavi edilmeyen ve siroza veya kansere ilerleyen her türlü karaciğer hastalığı tehlikelidir.;kolay;1133
İnternette karaciğeri temizleyen kürler var, işe yarar mı?;Hayır, bu tür kürlerin bilimsel bir dayanağı yoktur ve içerdikleri bilinmeyen maddelerle karaciğere daha fazla zarar verme riski taşırlar. Uzak durulmalıdır.;zor;2277
Karaciğer hastası gece neden uyanır?;İleri evre karaciğer hastalıklarında uyku-uyanıklık döngüsü bozulabilir. Ayrıca kaşıntı veya huzursuz bacak sendromu gibi şikayetler de uykuyu bölebilir.;zor;1838
Karaciğer ile ilgili: Hepatit C tam olarak iyileşiyor mu?;Evet, günümüzdeki yeni nesil antiviral ilaçlarla Hepatit C enfeksiyonu %95'in üzerinde bir başarı oranıyla tamamen tedavi edilebilmektedir.;zor;1661
Karaciğer kanser tanısı nasıl konur?;"Tanı; ultrason, tomografi, MR gibi görüntüleme yöntemleri, AFP gibi kan testleri ve bazen de biyopsi ile konulur.";kolay;1238
Vücudumda morluklar oluşuyor, karaciğerle ilgili mi?;Evet, karaciğer pıhtılaşma faktörlerini ürettiği için, ileri evre hastalıklarda kolay morarma ve kanama eğilimi görülebilir.;orta;1596
D vitamini karaciğere zararlı mı?;Hayır, aksine karaciğer hastalarında sıkça D vitamini eksikliği görülür ve doktor kontrolünde takviye edilmesi gerekebilir.;kolay;1229
